studentId,title,firstName,lastName,birthDate,currentSchool,email
69000001,Mr.,Somchai,Jaidee,2008-05-10,Triam Udom Suksa School,somchai.j@example.com
69000002,Ms.,Somsri,Rakrian,2007-11-22,Mahidol Wittayanusorn School,somsri.r@example.com
69000003,Mr.,Arthit,Tangjai,2008-01-15,KVIS,arthit.t@example.com
69000004,Ms.,Malee,Meeta,2009-02-20,Triam Udom Suksa School,malee.m@example.com
69000005,Mr.,Piti,Chujai,2008-08-08,Mahidol Wittayanusorn School,piti.c@example.com
69000006,Ms.,Chantra,Jaemsai,2007-07-07,KVIS,chantra.j@example.com
69000007,Mr.,Akkapol,Dendang,2008-03-12,Debsirin School,akkapol.d@example.com
69000008,Ms.,Patchara,Sringam,2009-06-25,Suankularb Wittayalai School,patchara.s@example.com
69000009,Mr.,Veera,Klaharn,2008-10-30,Debsirin School,veera.k@example.com
69000010,Ms.,Duangjai,Faiifun,2007-12-01,Suankularb Wittayalai School,duangjai.f@example.com
